date,state,positive,negative,death,hospitalized,totalTestResults,FIPS
3/21/2020,WY,23,438,,,461,56
3/22/2020,AK,22,946,,0,968,2
3/22/2020,AL,138,1464,0,,1602,1
3/22/2020,AR,165,711,0,,876,5
3/22/2020,AS,,,0,,0,60
3/22/2020,AZ,152,282,2,,434,4
3/22/2020,CA,1536,11304,27,,12840,6
3/22/2020,CO,475,4075,5,49,4550,8
3/22/2020,CT,223,2877,5,,3100,9
3/22/2020,DC,98,957,1,,1055,11
3/22/2020,DE,56,36,0,,92,10
3/22/2020,FL,830,7990,13,185,8820,12
3/22/2020,GA,600,3420,23,,4020,13
3/22/2020,GU,27,126,1,,153,66
3/22/2020,HI,48,263,,,311,15
3/22/2020,IA,90,1215,,,1305,19
3/22/2020,ID,42,1175,0,,1217,16
3/22/2020,IL,1049,7271,9,,8320,17
3/22/2020,IN,201,1293,6,1,1494,18
3/22/2020,KS,64,417,2,,481,20
3/22/2020,KY,99,1472,3,,1571,21
3/22/2020,LA,837,2661,20,,3498,22
